Date,P5,P50,P95
2025-06-10,603.3743170355763,919.5220054331444,1249.4509845150267
2025-06-11,607.583155665015,919.785411645948,1254.41154582858
2025-06-12,605.7583463062415,920.8536030522862,1251.2095647458498
2025-06-13,607.384859862333,921.0502785484111,1249.92719413231
2025-06-16,602.5200646623863,925.1024735093654,1248.0933913403385
2025-06-17,605.3214775109293,920.7320805302736,1247.052553567348
2025-06-18,601.7878872497913,923.1068374641619,1251.978883007122
2025-06-19,599.7877822279871,921.8316705656785,1251.4690412651535
2025-06-20,606.6588795918784,922.5796874974376,1251.2323535735975
2025-06-23,605.9980793357819,923.5020540790529,1252.1469619463076
2025-06-24,602.755094557768,923.0252188967431,1252.366821540036
2025-06-25,599.9282441030005,919.8687385845051,1256.1205358018944
2025-06-26,603.9695962614776,919.4471437570462,1256.0032974444891
2025-06-27,607.6866377427356,917.322720533768,1259.63667938789
2025-06-30,604.5083365633259,917.8089049117397,1255.6368663582998
2025-07-01,599.4097566695245,918.8243257379802,1258.4660332846545
2025-07-02,602.2013684954218,920.8653330531463,1262.1641535213532
2025-07-03,602.8827745735131,918.4551989550587,1256.6121669950346
2025-07-04,597.7210346727486,920.4136800831175,1247.8409400897083
2025-07-07,597.8723804431963,920.4227751407906,1250.473499707767
2025-07-08,600.7977850675534,921.7123773514516,1262.2155030617944
2025-07-09,601.6663611571865,924.1763166919637,1258.381873790217
2025-07-10,596.5062796508444,927.189810443327,1261.8849188490174
2025-07-11,603.3498496841087,926.5734118752484,1264.157653187035
2025-07-14,601.3630106368976,925.0045762484483,1262.5649002201023
2025-07-15,610.1177134722859,923.0230733956474,1265.4406510040626
2025-07-16,600.8835049305715,926.3726958246898,1263.6049888390894
2025-07-17,602.5620669953632,924.8994939021948,1268.703104089445
2025-07-18,594.5982172494963,924.2374818152706,1269.3063085001363
2025-07-21,590.032750916413,923.5931430855621,1264.7125382331978
2025-07-22,582.898569240042,922.6219271457089,1267.4954664671914
2025-07-23,589.5062097080257,924.5949197268014,1268.5352362281485
2025-07-24,586.9209132447039,922.9957025826204,1266.7334577800677
2025-07-25,591.5404881279933,926.609037572641,1271.069957375111
2025-07-28,591.0850196372928,922.9362669092898,1270.530324175177
2025-07-29,591.6789205569094,923.8259320771078,1264.9965787224148
2025-07-30,590.5536655076565,923.8765873758612,1265.2248913767255
2025-07-31,589.8190451953668,923.9088441197326,1267.7020567529044
2025-08-01,589.3784114473214,926.5204069668671,1269.686908148883
2025-08-04,582.5786701574493,926.5374955997531,1260.408281856759
2025-08-05,585.4762970607347,924.084502083295,1267.6809085749246
